state,description,crime_rate,weather_risk,terrain_difficulty,tourist_density,time_of_day,risk_score
Maharashtra,city tourism,0.2894963848910803,0.975473140184947,0.9420239821914101,0.127377525606853,0,57.896094862209864
Arunachal Pradesh,city tourism,0.9394010925979663,0.35472171451501433,0.48619202049614285,0.9089080264653819,0,58.29395641787174
Bihar,night travel,0.7428512274660746,0.2970357044032499,0.009008988448621746,0.46800993541095703,1,44.616753499388594
Maharashtra,mountain hiking,0.7548069457885584,0.6405509980559635,0.1608439637954907,0.21275096664921445,0,44.80659208643525
Assam,mountain hiking,0.7449940131459628,0.7658355897658116,0.2872290844672787,0.8427821378445696,0,57.104258628651834
Madhya Pradesh,night travel,0.8959803839456993,0.34235239539190443,0.30010238174981707,0.6057693066437152,0,48.99847401335117
West Bengal,mountain hiking,0.12593771247048458,0.6334042265085932,0.6010720218498599,0.8997238712991771,0,43.63727629606764
Manipur,remote village visit,0.2615800291441316,0.6148916803363288,0.6452798097993688,0.10166114895336353,1,50.368299617250024
Andhra Pradesh,trekking route,0.38645429359002303,0.22950587486295726,0.303004219449063,0.8534672548444907,1,43.441053713946104
Kerala,temple visit,0.7974696253861229,0.24826354196821188,0.49415000575750967,0.7677247974756567,1,60.161675429483296
Sikkim,temple visit,0.9310606756017831,0.6081255837689241,0.5779167759076067,0.1175401381275557,0,58.758280641242315
Uttar Pradesh,temple visit,0.8294276044832275,0.3080267221139662,0.9317792436763268,0.5531822302665261,0,61.409799581919415
Andhra Pradesh,trekking route,0.517090415931655,0.5701154080841443,0.25611796036457357,0.3871938622803043,1,50.040485311970635
Sikkim,trekking route,0.3823199226217282,0.7569520085140812,0.12343179361329037,0.3538447760707776,0,37.01764049254391
Uttar Pradesh,desert safari,0.6871359290730327,0.22576518169176818,0.600340430019828,0.5469234361736317,0,46.735952526717206
Odisha,temple visit,0.2857942397600388,0.21274857740195852,0.9579238370054804,0.7642232642850961,0,45.4828701958381
Bihar,night travel,0.16701967343530777,0.47920413796990535,0.15553414496582885,0.649007057340036,0,27.369117849852948
Odisha,night travel,0.38354984102896694,0.10473972152127287,0.7076095611617153,0.5921034321200931,0,37.73626161914464
Haryana,city tourism,0.8677008900314588,0.561552644526059,0.7130493540984089,0.04625625989057203,0,58.35863926546118
Meghalaya,night travel,0.6260145639289135,0.1427477802090794,0.6693391959808347,0.031400776806339015,0,39.39661909067865
Himachal Pradesh,trekking route,0.3080280456117501,0.2525680181986425,0.7550697276572631,0.6042256157797522,1,50.47404117254767
Mizoram,temple visit,0.6909673230635356,0.8598830543248214,0.0448514741860937,0.7383056870649097,1,60.73043977532804
Mizoram,temple visit,0.6898881244327871,0.8359314101604691,0.913716186830378,0.4132553043418312,0,68.5703867011731
Manipur,city tourism,0.7489554131069606,0.35111107962709664,0.3649340903936663,0.3243811197270249,1,53.61360284099814
Punjab,forest trail,0.5558188969614103,0.11082318640734956,0.3902327851878832,0.8948118609437663,0,38.149084808160794
Madhya Pradesh,forest trail,0.037655891536082065,0.08004755798365726,0.7536636486430439,0.09940796482709713,1,32.96653656002096
Uttarakhand,city tourism,0.2533878552510753,0.42858317038981775,0.7839086840641517,0.4199379113801587,0,42.11331113268308
Jharkhand,night travel,0.40297147741752937,0.11628869275873488,0.5495715115385278,0.11932799235770086,1,39.92892935353446
Kerala,mountain hiking,0.5493664825706247,0.08176117048477294,0.965037648450608,0.6288980995927557,1,58.939945946430825
Uttarakhand,forest trail,0.28506586184580174,0.3522818199958797,0.2644562954227827,0.5936603194269372,0,29.907031935109984
Uttar Pradesh,temple visit,0.8326967202418405,0.5974466449780186,0.39361879565966895,0.3782656287445548,0,53.54019391064295
Chhattisgarh,mountain hiking,0.6899851311467965,0.5131792468485711,0.4519442047159342,0.047029925497241165,1,55.297939478488935
Karnataka,trekking route,0.8133575682204411,0.27173697980550915,0.1133904107421283,0.8671800848595409,1,52.700712658899576
Gujarat,desert safari,0.3846224331196497,0.41496206477204967,0.13591874501406997,0.0856847204886586,1,36.16754044312907
Andhra Pradesh,temple visit,0.2018025170571519,0.759691534638902,0.9137161012329666,0.9587574543002135,0,57.47684095151341
Himachal Pradesh,forest trail,0.5108923572581422,0.12450593825344913,0.48084791696044116,0.6403123870400247,0,36.86374096849177
Maharashtra,trekking route,0.3693046277347708,0.34948170287796965,0.9732262876377076,0.6326650941829307,1,60.47348953676436
Tamil Nadu,night travel,0.6345558663846602,0.49635195299078605,0.7283514608914671,0.40943364387363257,1,63.748597777332456
Telangana,desert safari,0.6087498561854836,0.5368500236750483,0.4290771799056676,0.9589152646027257,0,51.99982842110967
West Bengal,temple visit,0.22523668020810717,0.9361950255013798,0.2533124934391844,0.3552894868497891,0,40.04768324825521
Mizoram,desert safari,0.8754262213291316,0.01360536815667357,0.7340254242312729,0.2584927022576341,1,57.538483472148954
Nagaland,trekking route,0.4032233590904747,0.09586867000787669,0.27924607302649196,0.12272422228223812,0,22.701811571395837
Jharkhand,mountain hiking,0.7131026100127856,0.1766988087136272,0.541926968976019,0.7686123568966818,0,47.04484631159154
Telangana,trekking route,0.3544246550828427,0.26295933508310443,0.2613424478647792,0.7908652360628786,0,31.648936586811157
Bihar,mountain hiking,0.21504629521415053,0.6255661490622171,0.11685108772257702,0.5755108186166075,0,30.766927962210445
Jharkhand,remote village visit,0.5809181544819141,0.23658041474668645,0.6649577503938813,0.9611324114852046,1,59.57732287782366
Andhra Pradesh,mountain hiking,0.3912115900906241,0.5869715706978447,0.9528496226975052,0.5535233593316887,1,65.76711113091936
Bihar,mountain hiking,0.8861102308993207,0.013727164416140525,0.881527016693097,0.36182005596372824,0,52.58286201434784
Rajasthan,forest trail,0.23256916123522697,0.7891232719333307,0.6312721645493777,0.2605857079676921,1,55.092817828801444
Himachal Pradesh,city tourism,0.6684622774504748,0.6404983617655616,0.9178696441816496,0.5551770901840345,1,74.56483937403488
Rajasthan,temple visit,0.2043558239564317,0.3997129534620685,0.08088271376805112,0.12711383415919475,1,29.416704741037886
Rajasthan,night travel,0.5366151387251724,0.9039525207599254,0.8209530017099298,0.7932049399574886,1,77.15314162307644
Mizoram,desert safari,0.33134340212854185,0.7165699593751945,0.4479825058335648,0.29245174664709583,0,41.9786311605462
Tamil Nadu,temple visit,0.5840741694842068,0.5225566388493774,0.07012388388894208,0.9862768882516936,0,42.202007035501126
Sikkim,mountain hiking,0.48578983174232016,0.4898197899380283,0.03942713592399216,0.35376853006571385,1,41.342553399477254
Andhra Pradesh,remote village visit,0.14081800585132165,0.2615364935226062,0.00801290053567072,0.4729990521197709,1,25.693265548194283
Himachal Pradesh,desert safari,0.6658343978126858,0.4784927903473154,0.6627600819757432,0.03828744017447416,0,48.88922814420178
Odisha,forest trail,0.030925096825195952,0.17774265922731836,0.1438889690025823,0.22318238652181466,0,11.200367475721542
Manipur,city tourism,0.7501583684247198,0.3071711485111571,0.23135724279907943,0.9636008313471577,1,55.603969148969085
Goa,trekking route,0.8277040633326936,0.17837747842335272,0.5158550414786995,0.36766290306275495,1,55.863563928159664
Karnataka,night travel,0.1978579194274489,0.22967908385938152,0.1891043010670811,0.6999251581215159,0,23.404573787200192
Kerala,desert safari,0.6089675966648651,0.06562011729135064,0.42754084403357184,0.08442193204926585,0,31.442271253561675
Nagaland,desert safari,0.939631559953194,0.1311168347546321,0.8503470399755833,0.9894815268322664,0,62.620358935173876
Manipur,city tourism,0.36887321120488037,0.4025632805188276,0.5323044504230573,0.31048013025202204,0,37.54269091221376
Manipur,desert safari,0.6867055469410284,0.8838981608297568,0.7158244324511299,0.057664468447357176,1,71.1708759247266
Karnataka,city tourism,0.4189118557603094,0.37447287469952917,0.3397456152757571,0.3299502319496167,1,43.72232024168761
Odisha,forest trail,0.7147781823103779,0.7312636623867242,0.35896907508152853,0.9957532058116864,1,68.65669596413451
